match_date,team_home,team_away,match_info_url,group,round
02/11/2016,Sevilla FC,Dinamo Zagreb,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-sevilla-fc-dinamo-zagreb/,H,4
22/11/2016,Dinamo Zagreb,Olympique Lyon,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-dinamo-zagreb-olympique-lyon/,H,5
22/11/2016,Sevilla FC,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-sevilla-fc-juventus/,H,5
07/12/2016,Juventus,Dinamo Zagreb,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-juventus-dinamo-zagreb/,H,6
07/12/2016,Olympique Lyon,Sevilla FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-olympique-lyon-sevilla-fc/,H,6
14/02/2017,SL Benfica,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-sl-benfica-borussia-dortmund/,,7
14/02/2017,Paris Saint-Germain,FC Barcelona,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-paris-saint-germain-fc-barcelona/,,7
15/02/2017,Real Madrid,SSC Napoli,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-real-madrid-ssc-napoli/,,7
15/02/2017,Bayern München,Arsenal FC,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-bayern-muenchen-arsenal-fc/,,7
21/02/2017,Manchester City,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-manchester-city-as-monaco/,,7
21/02/2017,Bayer Leverkusen,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-bayer-leverkusen-atletico-madrid/,,7
22/02/2017,FC Porto,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-fc-porto-juventus/,,7
22/02/2017,Sevilla FC,Leicester City,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-sevilla-fc-leicester-city/,,7
07/03/2017,SSC Napoli,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-ssc-napoli-real-madrid/,,7
07/03/2017,Arsenal FC,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-arsenal-fc-bayern-muenchen/,,7
08/03/2017,Borussia Dortmund,SL Benfica,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-borussia-dortmund-sl-benfica/,,7
08/03/2017,FC Barcelona,Paris Saint-Germain,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-fc-barcelona-paris-saint-germain/,,7
